title,company,location,salary,skills
Procurement Manager,RWE AG,Panama City,$55K-$84K,Supplier diversity programs Diversity and inclusion initiatives Supplier assessment and certification Data collection and reporting Vendor outreach and engagement Strategic planning Communication skills Relationship building Attention to diversity and inclusion principles
Architectural Designer,Asian Paints,Tunis,$61K-$108K,Architectural drafting AutoCAD 2D and 3D modeling Blueprint reading Building codes Collaboration with architects Detail-oriented
Art Teacher,Laboratory Corp. of America,Harare,$57K-$82K,Art education curriculum Program development Teacher training Communication skills Artistic expertise
Environmental Consultant,Massachusetts Mutual Life Insurance,Tirana,$56K-$95K,Environmental impact analysis Data collection and analysis Environmental regulations Reporting GIS (Geographic Information Systems) Technical writing
Art Teacher,Sartorius AG,City of Baghdad,$58K-$122K,Art education curriculum Program development Teacher training Communication skills Artistic expertise
Event Planner,Munich Re Group,Andorra la Vella,$62K-$83K,Wedding planning Venue selection Catering and menu planning Floral and decor design Wedding etiquette
Architect,Brewin Dolphin,Asmara,$57K-$96K,"Architectural design software (e.g., AutoCAD, Revit) Building codes and regulations 3D modeling Visualization Sustainable design"
Family Lawyer,Royal Mail,Port-au-Prince,$57K-$112K,Mediation Conflict resolution Negotiation Communication skills Neutrality Problem-solving Legal knowledge Mediation techniques
Account Manager,KLA,Seoul,$59K-$123K,Client relationship management Customer service Communication skills
Business Development Manager,Alibaba Health Information Technology,Montevideo,$56K-$114K,Market expansion strategies Market research Sales planning and execution
Network Engineer,Deere,Willemstad,$62K-$101K,"Network management Troubleshooting Network security IT certifications (e.g., CCNA)"
IT Manager,Expeditors International of Washington,Kuwait City,$63K-$88K,"Network administration System administration Virtualization technologies (e.g., VMware, Hyper-V) Storage management IT security Disaster recovery planning Capacity planning Monitoring and troubleshooting Cloud infrastructure (e.g., AWS, Azure) Vendor management"
HR Coordinator,Morrison Supermarkets,Nuuk,$56K-$88K,Training program coordination Training material development Learning management systems
Human Resources Manager,Merck,Valletta,$63K-$99K,Employee conflict resolution HR compliance Employee engagement Communication skills
Customer Support Specialist,Fiserv,Yerevan,$62K-$126K,Help desk support Ticket resolution IT troubleshooting Customer service skills Technical knowledge Documentation and knowledge base maintenance Communication and interpersonal skills
Content Writer,APA Group,Moroni,$59K-$81K,Content strategy Content planning SEO optimization Content marketing Analytics
Network Administrator,Hewlett Packard Enterprise,Sri Jayawardenepura Kotte,$60K-$125K,Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail
Chemical Analyst,Deutsche Annington Immobilien SE (Now Vonovia SE),The City of Hamilton,$60K-$91K,Quality control Quality assurance QC testing methods Compliance standards Root cause analysis Documentation Statistical analysis
Psychologist,Exelon,Juba,$64K-$125K,Clinical psychology Counseling skills Assessment tools Diagnostic skills Empathy and listening skills
Software Engineer,Tencent Holdings,Amsterdam,$61K-$85K,"Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)"
Physician Assistant,Cigna Group,Nouakchott,$59K-$117K,Medical knowledge and clinical skills Patient care and assessment Communication and empathy
Financial Advisor,Campbell Soup,Nur-Sultan,$58K-$93K,Investment strategies Portfolio management Financial planning Risk assessment Regulatory compliance
Litigation Attorney,Autoliv,Juba,$61K-$107K,Litigation Legal research Courtroom representation Case preparation Client counseling Legal writing
Front-End Developer,Procter & Gamble,Ankara,$55K-$126K,"Web design concepts Graphic design software (e.g., Adobe Creative Suite) HTML and CSS Responsive design User interface (UI) principles Visual communication Typography Color theory Creativity Attention to detail Collaboration"
IT Support Specialist,Industrial and Commercial Bank of China (ICBC),Berlin,$56K-$95K,Technical troubleshooting Customer service and communication Ticketing system usage Basic IT knowledge Problem-solving and critical-thinking skills
Paralegal,Weir Group,Tokyo,$56K-$124K,Legal research Discovery management Case preparation Trial support Document review Client communication E-filing Attention to detail Multitasking Legal terminology Technology proficiency Communication skills Legal software proficiency
Legal Counsel,Clorox Company,Valletta,$57K-$112K,Corporate law and regulations Contract drafting and negotiation Legal research and analysis Risk management Excellent communication and negotiation skills
Art Teacher,Icahn Enterprises,Chisinau,$64K-$97K,Art education curriculum Program development Teacher training Communication skills Artistic expertise
UX/UI Designer,Molson Coors Beverage,Charlotte Amalie,$62K-$99K,"UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design"
Social Media Coordinator,ITC Limited,San Jose,$60K-$93K,"Content creation (e.g., writing, editing, graphic design, video production) Content marketing Social media management SEO optimization Creative storytelling Audience engagement Analytics and reporting Adaptability Communication skills Creativity"
Tax Consultant,CDW,City of Port Louis,$55K-$83K,Business tax law knowledge Corporate tax planning Tax compliance for businesses Tax credits and incentives Tax strategy development Financial analysis IRS regulations Client relationship management Communication skills Tax software proficiency
Electrical Designer,Ford Motor Company,Copenhagen,$63K-$120K,Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving
UX Researcher,KeyCorp,Canberra,$58K-$121K,User research methods Usability testing Data analysis and interpretation
Systems Administrator,Reinsurance Group of America,San Jose,$65K-$98K,Technical troubleshooting Hardware and software support Customer service Problem-solving Communication
Systems Administrator,American Family Insurance Group,Brussels,$64K-$107K,Technical troubleshooting Hardware and software support Customer service Problem-solving Communication
Customer Service Manager,Western Union Company,Baku,$62K-$124K,Quality assurance Quality control Process improvement Audit procedures Compliance standards Root cause analysis
Network Administrator,State Street,Chisinau,$60K-$108K,Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail
UI Developer,Deutsche Bank AG,Bandar Seri Begawan,$63K-$114K,User experience (UX) design User interface (UI) design Wireframing and prototyping Usability testing Design tools like Sketch or Figma
Legal Counsel,KLA,Skopje,$55K-$128K,Employment law and regulations Employment contracts and agreements Workplace discrimination and harassment laws Legal compliance Client representation and advocacy
Sales Associate,Energy Transfer,Berlin,$55K-$83K,Customer service Sales techniques Product knowledge Cash handling Communication skills
Mechanical Engineer,Leidos Holdings,Maputo,$56K-$81K,Manufacturing processes knowledge CAD/CAM software proficiency Lean manufacturing principles Quality control and assurance Six Sigma certification
HR Manager,State Bank of India (SBI),Yaren District (de facto),$56K-$106K,Strategic HR planning Employee relations Talent management HR policy development Leadership skills
Environmental Engineer,SpartanNash,Lisbon,$60K-$98K,Sustainability practices Environmental management systems Green certifications
Litigation Attorney,S&P Global,Yerevan,$63K-$100K,Corporate law Commercial litigation Dispute resolution Contract law Legal strategy Negotiation
Office Manager,Wells Fargo,Windhoek,$59K-$118K,Administrative leadership Office management Staff supervision Budgeting and financial management Process improvement Communication skills
UX/UI Designer,Synchrony Financial,Kingstown,$65K-$130K,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes
Network Engineer,Rockwell Automation,Lusaka,$65K-$112K,Network security protocols and technologies Firewalls and intrusion detection systems Vulnerability assessment and penetration testing Security policy development and enforcement Incident response and recovery
Marketing Analyst,Southwestern Energy,ReykjavÃ­k,$64K-$94K,Digital marketing strategies Analytics and reporting SEO and SEM Social media marketing Email marketing Data interpretation Marketing automation tools A/B testing Communication skills Problem-solving Attention to detail Marketing knowledge
Network Analyst,Next plc,Palikir,$55K-$105K,"Network performance analysis Network monitoring tools (e.g., Wireshark) Troubleshooting Capacity planning Data analysis Network protocols"
Account Manager,Ramsay Health Care,Nur-Sultan,$59K-$112K,Client relationship management Customer service Communication skills
Civil Engineer,Weir Group,Jakarta,$60K-$99K,"Structural engineering principles Structural analysis and design software (e.g., AutoCAD, SAP2000) Building codes and standards Project management Structural integrity assessment"
Digital Marketing Specialist,Eli Lilly,Ashgabat,$64K-$118K,"Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising"
Landscape Architect,Admiral Group,San Salvador,$60K-$84K,Landscape design Plant selection and care Hardscape design
Digital Marketing Specialist,Campbell Soup,Jerusalem,$59K-$120K,"Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising"
Legal Secretary,Grafton Group,San Jose,$64K-$114K,Knowledge of court procedures Legal document management Attention to detail Computer literacy Organization skills
Financial Analyst,Thor Industries,Mogadishu,$60K-$120K,Financial analysis Investment evaluation Portfolio management Data analysis
Family Lawyer,Crown Holdings,Douglas,$55K-$97K,Mediation Conflict resolution Negotiation Communication skills Neutrality Problem-solving Legal knowledge Mediation techniques
Marketing Analyst,Petrofac,Abuja,$61K-$111K,"Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen"
Veterinarian,Bank of New York Mellon,AsunciÃ³n,$61K-$93K,Exotic animal medicine Exotic animal diagnostics Specialized surgical skills Avian medicine Reptile care Amphibian care Exotic animal anesthesia Compassion and empathy Client communication Problem-solving Attention to detail
Software Tester,Dick's Sporting Goods,George Town,$58K-$128K,"Test automation tools (e.g., Selenium, Appium) Scripting languages (e.g., Python, Java) Test framework development Continuous integration tools Test data management"
Network Administrator,Regeneron Pharmaceuticals,Tokyo,$65K-$83K,Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail
UX/UI Designer,RWE AG,Vienna,$63K-$90K,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes
Project Coordinator,Expeditors International of Washington,Jakarta,$61K-$109K,Construction project management Building codes and regulations knowledge Budgeting and cost control Construction scheduling Contractor and subcontractor coordination
Marketing Analyst,KLA,Kampala,$62K-$111K,"Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen"
QA Analyst,State Street,Juba,$58K-$100K,"Test automation Test framework development Continuous integration Scripting languages (e.g., Python) Test reporting Code review"
Systems Engineer,Halliburton,Kinshasa,$60K-$122K,"Cloud systems engineering Cloud infrastructure (e.g., AWS, Azure) DevOps practices Automation Security in the cloud Disaster recovery Scalability"
Occupational Therapist,Exelon,Paramaribo,$59K-$115K,"Geriatric assessment and evaluation Geriatric-specific occupational therapy techniques Aging-related conditions (e.g., dementia, arthritis) Fall prevention strategies Care coordination with healthcare teams Assistive technology for seniors Patient advocacy Empathy and compassion Communication skills"
Structural Engineer,Walmart,Kuala Lumpur,$60K-$109K,Bridge design Civil engineering Structural analysis AutoCAD proficiency Project management
Occupational Therapist,FedEx,Dakar,$64K-$93K,Mental health assessment and evaluation Psychotherapy techniques Cognitive-behavioral therapy (CBT) Trauma-informed care Crisis intervention Substance abuse treatment Group therapy Cultural competence Ethical standards and boundaries Active listening skills
Procurement Manager,Jones Lang LaSalle,San Marino,$64K-$124K,Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen
UX/UI Designer,Toll Brothers,Berlin,$65K-$85K,"UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design"
Public Relations Specialist,Aurizon Holdings,Apia,$58K-$80K,Crisis communication planning Crisis response Media relations Reputation management Stakeholder communication
Tax Consultant,Shriram Transport Finance Company,Moscow,$58K-$81K,International tax law knowledge Transfer pricing Cross-border tax planning Tax treaties and agreements Foreign tax credits International tax compliance Transfer pricing documentation Multinational tax strategies Client relationship management Communication skills Tax software proficiency
IT Support Specialist,Fiat Chrysler Automobiles N.V.,Bratislava,$65K-$117K,Network administration System and server maintenance Cybersecurity knowledge Backup and recovery IT project management skills
QA Analyst,Packaging Corp. of America,Riyadh,$64K-$89K,"Software quality assurance Test planning Test case design Test execution Defect tracking Test automation (e.g., Selenium)"
